perfume_name,brand,gender,accords,short_description,long_description,perfumer,top_notes,middle_notes,base_notes,rating,total_votes,img,logo
SJP NYC Sarah Jessica Parker ,Sarah Jessica Parker,for women,"fruity,sweet,vanilla,citrus,powdery,white floral,rum,woody,floral","SJP NYC  by  Sarah Jessica Parker  is a Floral Fruity fragrance for women.  SJP NYC  was launched in 2009. The nose behind this fragrance is Honorine Blanc. Top notes are Strawberry, Italian Mandarin and Osmanthus; middle notes are Honeysuckle, Rose, Gardenia and Mimosa; base notes are Rum, Vanille, White Musk and Sandalwood. ","SJP NYC is a new fragrance by Sarah Jessica Parker, presented in cooperation with Coty Prestige, as ""Sex and The City"" alter ego of popular actress, Carrie Bradshow.
 
 On the very top of the stopper, SJP NYC is inscribed as detail which inspired creators and made a link between the popular series (movie) and the new fragrant edition.
 
 ""A large part of the inspiration was what I now understand to be peopleâ€™s impressions of seeing Carrie Bradshaw walk down the street and what feelings that evokes for her and for them â€” a real sense of freedom and possibilities, a love for the city around her and, of course, fashion,â€ Parker told WWD. â€œWe started with this idea that we wanted to create something fun. We wanted to create a party in a bottle and reflect that in the packaging with a real sense of whimsy, fun and joie de vivre. And then we took it from there. Portability and fashion played key roles in the development of the packaging and overall concept.â€
 
 This fruity-floral fragrance was created by Honorine Blanc of Firmenich, who enriched top notes with mandarin from Italy, white osmanthus and wild strawberries. A heart of SJP NYC incorporates gardenia, honeysuckle, mimosa and red Damascena rose, while a base includes vanilla absolute, sandalwood, rum and creamy musk.
 
 Sarah Jessica Parker is very surprised with sophisticated notes of accentuated elegant floral bouquet, because she expected sweet, fruity notes of strawberries and more youthful nuances. Strawberries contribute to harmony and balance of the floral composition with musk Sarah adores and prefers as ingredient in her perfumes.
 
 The collection encompasses EDTs in three sizes (15ml, 30ml and 60ml), accompanied with 200 ml body lotion. A fragrant bracelet with solid perfume is announced for May 2010.
 
 SJP NYC package is unusual and made of a simple glass flacon in a cylindrical flacon which can be used for other purposes, as well. The tin package is illustrated with various motives, which remind of Sarah Jessica Parker's wardrobe and her love for fashion. ""Fashion's in the air"" announced Sarah Jessica Parker!",Honorine Blanc,"Strawberry,Italian Mandarin,Osmanthus","Honeysuckle,Rose,Gardenia,Mimosa","Rum,Vanille,White Musk,Sandalwood",3.88,"1,242",https://fimgs.net/mdimg/perfume/375x500.7081.jpg,https://fimgs.net/mdimg/dizajneri/m.137.jpg
Obscuro Santa Eulalia ,Santa Eulalia,for women and men,"amber,balsamic,leather,smoky,warm spicy,animalic",Obscuro  by  Santa Eulalia  is a Woody Spicy fragrance for women and men.  Obscuro  was launched in 2014. The nose behind this fragrance is Celso Fadelli. ,,Celso Fadelli,"Leather,Peru Balsam,Amber,Incense,Saffron,Star Anise",,,4.04,84,https://fimgs.net/mdimg/perfume/375x500.28126.jpg,https://fimgs.net/mdimg/dizajneri/m.2083.jpg
Crocus Eau de Parfum Santa Eulalia ,Santa Eulalia,for women and men,"woody,warm spicy,aromatic,amber,fresh spicy,powdery,earthy,balsamic,patchouli,vanilla","Crocus Eau de Parfum  by  Santa Eulalia  is a fragrance for women and men.  Crocus Eau de Parfum  was launched in 2021. Top notes are Saffron, Rum, Juniper Berries, Cypress and Red Fruits; middle notes are Immortelle, Petitgrain, Violet and Pepper; base notes are Sandalwood, Patchouli, Vetiver, Amber, Vanilla, Incense, Moss and Musk. ",,,"Saffron,Rum,Juniper Berries,Cypress,Red Fruits","Immortelle,Petitgrain,Violet,Pepper","Sandalwood,Patchouli,Vetiver,Amber,Vanilla,Incense,Moss,Musk",4.4,10,https://fimgs.net/mdimg/perfume/375x500.68509.jpg,https://fimgs.net/mdimg/dizajneri/m.2083.jpg
Signorina In Fiore Salvatore Ferragamo ,Salvatore Ferragamo,for women,"fruity,woody,floral,sweet,fresh,musky,white floral,powdery,fresh spicy,sour","Signorina In Fiore  by  Salvatore Ferragamo  is a Floral Fruity fragrance for women.  Signorina In Fiore  was launched in 2017. The nose behind this fragrance is Emilie Bevierre-Coppermann. Top notes are Pomegranate, Sorbet and Pear; middle notes are Cherry Blossom and Jasmine; base notes are White Musk and Sandalwood. ","Signorina Fiore, the new perfume from the Signorina collection by Italian house Salvatore Ferragamo, comes out in 2017, after the original Signorina from 2011, Eau de Toilette version from 2012, Signorina Eleganza version from 2014 and Signorina Misteriosa from 2016. The new fragrance is signed by Emilie (Bevierre) Coppermann.  
  Top notes: nashi pear sorbet and pomegranate. Heart: cherry blossom and jasmine. Base: white musk and sandalwood.  
 It is available as an Eau de Toilette.",Emilie Bevierre-Coppermann,"Pomegranate,Sorbet,Pear","Cherry Blossom,Jasmine","White Musk,Sandalwood",3.71,512,https://fimgs.net/mdimg/perfume/375x500.41733.jpg,https://fimgs.net/mdimg/dizajneri/m.92.jpg
Incense Suede Salvatore Ferragamo ,Salvatore Ferragamo,for women and men,"amber,leather,smoky,warm spicy,balsamic,animalic",Incense Suede  by  Salvatore Ferragamo  is a Leather fragrance for women and men.  Incense Suede  was launched in 2014. Top notes are Incense and Pink Pepper; middle notes are Leather and Saffron; base notes are Styrax and Mate. ,,,"Incense,Pink Pepper","Leather,Saffron","Styrax,Mate",4.32,158,https://fimgs.net/mdimg/perfume/375x500.26779.jpg,https://fimgs.net/mdimg/dizajneri/m.92.jpg
Signorina Eleganza Salvatore Ferragamo ,Salvatore Ferragamo,for women,"fruity,patchouli,floral,sweet,leather,woody,citrus,almond,warm spicy,aquatic",Signorina Eleganza  by  Salvatore Ferragamo  is a Chypre Floral fragrance for women.  Signorina Eleganza  was launched in 2014. The nose behind this fragrance is Sophie Labbe. Top notes are Pear and Grapefruit; middle notes are Osmanthus and Almond; base notes are Patchouli and Leather. ,"Elegance has always been a defining element of Salvatore Ferragamo creations. Full of grace and refinement, they are further
enhanced by the impeccable taste for which the Florentine brand is famous worldwide.
In tribute to this sophistication, Salvatore Ferragamo presents Signorina Eleganza, a luxurious fragrance that celebrates feminine
grace and seduction. 
 The fresh head notes of grapefruit and pear are a vivacious and
stimulating introduction. 
 
Almond powder and golden osmanthus petals create a delicate yet
intense heart, adding a touch of indulgent luxury. 
 
The base notes of patchouli and white leather create a dry-down
effect that leaves a luscious, lingering scent on the skin. 
 The packaging of Signorina Eleganza in a nude beige palette
conveys a delicate and refined charm. The Eleganza logo in
embossed gold adds an extra touch of excellence. 
 
The precious golden base engraved with the logo in relief gives
the bottle a magnificent appearance while the famous gros grain
Vara bow comes in two shades of beige.
 
 Salvatore Ferragamo celebrates chic young women creating a unique style signature of timeless modernity, creativity and a hint of audacity.
A girl playing with her different characters: sophisticated and cheeky, like Signorina Eau de Parfum, elegant and seductive like Signorina Eleganza and unpredictably mysterious like
Signorina Misteriosa ...because Signorina is a different Signorina every day.
â€œMy life is a playâ€ is her credo: Grace Hartzel perfectly embodies the three personalities of Signorina deciding when and how to let the play start, but always remaining the same person.
#mylifeisaplay
 
  Signorina Eleganza is available in three sizes: 30, 50 and 100ml EDP. Perfumer is Sophie Labbe from IFF.",Sophie LabbÃ©,"Pear,Grapefruit","Osmanthus,Almond","Patchouli,Leather",3.9,"1,487",https://fimgs.net/mdimg/perfume/375x500.21977.jpg,https://fimgs.net/mdimg/dizajneri/m.92.jpg
Incanto Bloom Salvatore Ferragamo ,Salvatore Ferragamo,for women,"floral,rose,citrus,musky",Incanto Bloom  by  Salvatore Ferragamo  is a Floral fragrance for women.  Incanto Bloom  was launched in 2010. The nose behind this fragrance is Sophie Labbe. Top notes are Freesia and Grapefruit; middle notes are Tea Rose and Champaca; base notes are White Musk and Cashmere Wood. ,"Incanto Bloom is a new fragrance in the line of Incanto fragrances and can be expected on the market in March 2010. Creator of the perfume is Sophie Labbe and the composition encompasses grapefruit blossom, freesia, tea rose, champaca, musk and cahmere. The fragrance arrives as 30, 50 and 90ml edt in a flacon designed by Sylvie de France.",Sophie LabbÃ©,"Freesia,Grapefruit","Tea Rose,Champaca","White Musk,Cashmere Wood",3.91,696,https://fimgs.net/mdimg/perfume/375x500.7335.jpg,https://fimgs.net/mdimg/dizajneri/m.92.jpg
Incanto Shine Salvatore Ferragamo ,Salvatore Ferragamo,for women,"fruity,sweet,tropical,fresh,floral,citrus,powdery","Incanto Shine  by  Salvatore Ferragamo  is a Floral Fruity fragrance for women.  Incanto Shine  was launched in 2007. The nose behind this fragrance is Karine Dubreuil-Sereni. Top notes are Pineapple, Passionfruit and Bergamot; middle notes are Peach, Pink Peony and Freesia; base notes are Musk, Cedar and Amber. ","Incanto Shine was launched in MarchÂ 2007 by Salvatore Ferragamo. It is a fruity floral fragranceÂ in a colourful bottle adorned with carefree summer motifs. It starts with fresh notes of pineapple, bergamot, and passion fruit. Pink peony, freesia, and peach are at its heart. The base consists of cedar, amber, and musk.",Karine Dubreuil-Sereni,"Pineapple,Passionfruit,Bergamot","Peach,Pink Peony,Freesia","Musk,Cedar,Amber",3.8,"2,380",https://fimgs.net/mdimg/perfume/375x500.1055.jpg,https://fimgs.net/mdimg/dizajneri/m.92.jpg
Signorina Salvatore Ferragamo ,Salvatore Ferragamo,for women,"sweet,rose,floral,lactonic,musky,fresh,soft spicy,coffee","Signorina  by  Salvatore Ferragamo  is a Floral Fruity fragrance for women.  Signorina  was launched in 2011. Signorina was created by Sophie Labbe and Juliette Karagueuzoglou. Top notes are Pink Pepper and Black Currant; middle notes are Rose, Peony and Jasmine; base notes are Panacotta, Musk and Patchouli. ","Signorina is a celebration of chic girls with a sophisticated, subtly cheeky and fresh scent signature. A new fragrance creation with the elegant and all Italian style by Salvatore Ferragamo. A fragrance inspired by the strong bond between Salvatore Ferragamo and trendy feminine young ladies with timeless modernity, creativity and a hint of audacity. 
 
 Signorina, a lovely and chic Italian name that literally means young woman. Stylish, truly Italian, fresh and full of life.
 
 
The bright fizzy notes of currant spiced by fresh pink pepper bring their joyful, cheeky character to green notes. A generous dewy floral heart is composed of elegant jasmine, pink peony and rose. Spontaneous and delicate sweetness of pannacotta together with soft musks and intriguing woody patchouli notes offer a racy Italian elegance and an unexpected addictiveness.
 
 Olfactive Family: Floriental Fruity
 
 Perfumers: Sophie Labbe, Juliette Karagueuzoglou (IFF) 
 Signorina`s flacon is a statement of subtle elegance and grace. The squared design recalls a precious jewel box. On top, the flacon shows a reinterpretation of the iconic Vara bow in gros grain in two cheeky pink shades. A lovely bubble of pink gold completes this sophisticated creations with a touch of irony. The outer packaging is gracefully decorated with pink gold frames, that give a light and iconic style. The Salvatore Ferragamo logo is embossed on the top and elegantly seals the box. A perfect blend of style and freshness. 
 Salvatore Ferragamo celebrates chic young women creating a unique style signature of timeless modernity, creativity and a hint of audacity.
A girl playing with her different characters: sophisticated and cheeky, like Signorina Eau de Parfum, elegant and seductive like Signorina Eleganza and unpredictably mysterious like
Signorina Misteriosa ...because Signorina is a different Signorina every day.
â€œMy life is a playâ€ is her credo: Grace Hartzel perfectly embodies the three personalities of Signorina deciding when and how to let the play start, but always remaining the same person.
#mylifeisaplay","Juliette Karagueuzoglou,Sophie LabbÃ©","Pink Pepper,Black Currant","Rose,Peony,Jasmine","Panacotta,Musk,Patchouli",3.83,"3,982",https://fimgs.net/mdimg/perfume/375x500.13639.jpg,https://fimgs.net/mdimg/dizajneri/m.92.jpg
Ferragamo Intense Leather Salvatore Ferragamo ,Salvatore Ferragamo,for men,"leather,earthy,soft spicy,citrus,animalic,fruity,musky,aromatic,sweet,powdery","Ferragamo Intense Leather  by  Salvatore Ferragamo  is a Leather fragrance for men.  Ferragamo Intense Leather  was launched in 2021. Top notes are Mandarin Orange, Pink Pepper and Clary Sage; middle notes are Red Apple, Iris and Lily-of-the-Valley; base notes are Leather, Earthy Notes, Oakmoss and Musk. ",,,"Mandarin Orange,Pink Pepper,Clary Sage","Red Apple,Iris,Lily-of-the-Valley","Leather,Earthy Notes,Oakmoss,Musk",4.13,625,https://fimgs.net/mdimg/perfume/375x500.65225.jpg,https://fimgs.net/mdimg/dizajneri/m.92.jpg
Attimo Salvatore Ferragamo ,Salvatore Ferragamo,for women,"floral,aquatic,fruity,fresh,white floral,woody,musky,sweet,lactonic,patchouli","Attimo  by  Salvatore Ferragamo  is a Floral fragrance for women.  Attimo  was launched in 2010. The nose behind this fragrance is Jean-Pierre Bethouart. Top notes are Pear and Lotus; middle notes are Gardenia, Peony and Frangipani; base notes are Musk, Patchouli and Virginia Cedar. ","Attimo (""Moment"") is a new fragrance for women by the house of Salvatore Ferragamo arriving on the market in September 2010. The fragrance encompasses a floral bouquet laid on a warm, elegant, woody base. 
 The composition of this fragrance will not be similar to the other candy-like, flirtatious editions, but the accent will be on elegance and fine, floral notes. 
 The top notes of Attimo offer fruity aromas of nashi pear and delicate lotus flower. TheÂ heart incorporates a floral blend of gardenia, peony, and frangipani, while theÂ base features a trail of musk, cedar, and patchouli. 
 The fragrance arrives in a transparentÂ glass flacon, and the liquid is coloured in gentle beige.",Jean-Pierre Bethouart,"Pear,Lotus","Gardenia,Peony,Frangipani","Musk,Patchouli,Virginia Cedar",3.67,743,https://fimgs.net/mdimg/perfume/375x500.9120.jpg,https://fimgs.net/mdimg/dizajneri/m.92.jpg
So Dupont Pour Femme S.T. Dupont ,S.T. Dupont,for women,"floral,fruity,fresh,sweet,woody,musky,white floral,rose,yellow floral,green","So Dupont Pour Femme  by  S.T. Dupont  is a Floral Woody Musk fragrance for women.  So Dupont Pour Femme  was launched in 2014. Top notes are Pear, Blackberry, Ylang-Ylang and Hyacinth; middle notes are Peony, Magnolia, Lily-of-the-Valley and Jasmine; base notes are Musk, Sandalwood, Patchouli and Cedar. ","The composition of women's fragrance opens with a romantic mix of flowers such as hyacinth and ylang-ylang sweetened by fruit juices of blackberries and pears. The heart is a romantic bouquet of peony, jasmine, lily of the valley and magnolia, laid at the base of woody notes of sandalwood, patchouli, cedar and musk. So Dupont Pour Femme is available in a glass bottle with a pink bow in quantities of 30, 50 and 100 ml Eau de Parfum. The fragrance is constructed as floral-woody-musky, slightly sweetened by fruit.",,"Pear,Blackberry,Ylang-Ylang,Hyacinth","Peony,Magnolia,Lily-of-the-Valley,Jasmine","Musk,Sandalwood,Patchouli,Cedar",3.81,198,https://fimgs.net/mdimg/perfume/375x500.27041.jpg,https://fimgs.net/mdimg/dizajneri/m.135.jpg
Amo Ferragamo Salvatore Ferragamo ,Salvatore Ferragamo,for women,"fruity,vanilla,aromatic,woody,powdery,green,sweet,soft spicy,white floral,fresh spicy","Amo Ferragamo  by  Salvatore Ferragamo  is a Oriental Floral fragrance for women.  Amo Ferragamo  was launched in 2018. The nose behind this fragrance is Marie Salamagne. Top notes are Campari, Black Currant and Rosemary; middle notes are Rhubarb, Jasmine Sambac and Mate; base notes are Tahitian Vanilla, Ambroxan and Sandalwood. ",,Marie Salamagne,"Campari,Black Currant,Rosemary","Rhubarb,Jasmine Sambac,Mate","Tahitian Vanilla,Ambroxan,Sandalwood",4.11,"1,959",https://fimgs.net/mdimg/perfume/375x500.46832.jpg,https://fimgs.net/mdimg/dizajneri/m.92.jpg
So Dupont Pour Homme S.T. Dupont ,S.T. Dupont,for men,"fresh spicy,green,aromatic,citrus,vanilla,woody,fruity,fresh,warm spicy,powdery","So Dupont Pour Homme  by  S.T. Dupont  is a Woody Aromatic fragrance for men.  So Dupont Pour Homme  was launched in 2014. Top notes are Grapefruit, White Pepper and Bergamot; middle notes are Apple, Mint and Cedar; base notes are Tonka Bean, Vanilla and Sandalwood. ","Men's fragrance ST Dupont Pour Homme comes in an elegant bottle of 30, 50 and 100ml Eau de Toilette, conceptualized as a woody-aromatic fragrance with spicy touch. The top notes of the composition include bergamot, grapefruit and white pepper, followed by icy mint, apple and cedar in the heart. The base is warmer and more comfortable with notes of tonka bean, vanilla and sandalwood.",,"Grapefruit,White Pepper,Bergamot","Apple,Mint,Cedar","Tonka Bean,Vanilla,Sandalwood",3.86,74,https://fimgs.net/mdimg/perfume/375x500.27042.jpg,https://fimgs.net/mdimg/dizajneri/m.135.jpg
S.T. Dupont Noir S.T. Dupont ,S.T. Dupont,for men,"warm spicy,aromatic,woody,fresh spicy,lavender,nutty,green,musky,amber","S.T. Dupont Noir  by  S.T. Dupont  is a Woody Spicy fragrance for men.  S.T. Dupont Noir  was launched in 2006. The nose behind this fragrance is Michel Girard. Top notes are Lavender, Cardamom and Mint; middle notes are Nutmeg and Cloves; base notes are Hazelnut, Cashmere Wood and Vetiver. ",,Michel Girard,"Lavender,Cardamom,Mint","Nutmeg,Cloves","Hazelnut,Cashmere Wood,Vetiver",3.92,366,https://fimgs.net/mdimg/perfume/375x500.981.jpg,https://fimgs.net/mdimg/dizajneri/m.135.jpg
Emozione Salvatore Ferragamo ,Salvatore Ferragamo,for women,"powdery,floral,musky,iris,rose,vanilla,fresh,fruity,citrus,violet","Emozione  by  Salvatore Ferragamo  is a Chypre Floral fragrance for women.  Emozione  was launched in 2015. The nose behind this fragrance is Alberto Morillas. Top notes are Iris, Peach and Bergamot; middle notes are Heliotrope, Peony and Bulgarian Rose; base notes are White Musk, Suede and Patchouli. ","Salvatore Ferragamo launches new fragrance for women Emozione, which arrives on the market in February 2015. Emozione has been announced as extremely feminine fragrance which is classic, contemporary and elegant. The composition is chypre-floral with woody undertones, created to highlight emotions and pleasures that life offers.  
 
Emozione opens with luminous citrus notes of bergamot, softened with soft and powdery flavors of iris. Top notes are enriched with velvety shades of peach providing fullness and velvety effect. The heart incorporates gentle, feminine flowers of peony combined with Bulgarian rose and heliotrope, resting on patchouli, suede and white musk in the base of the composition.  
 
Fragrance Emozione can be obtained as 30, 50 and 92ml Eau de Parfum. Advertising face is the model model Malgosia Bela who will be featured in black and white advertising campaign signed by Mert Alas and Marcus Piggott.",Alberto Morillas,"Iris,Peach,Bergamot","Heliotrope,Peony,Bulgarian Rose","White Musk,Suede,Patchouli",3.88,"1,164",https://fimgs.net/mdimg/perfume/375x500.28117.jpg,https://fimgs.net/mdimg/dizajneri/m.92.jpg
S.T. Dupont Rose S.T. Dupont ,S.T. Dupont,for women,"rose,citrus,floral,powdery,fresh,woody,violet,iris,musky,fruity","S.T. Dupont Rose  by  S.T. Dupont  is a Floral Fruity fragrance for women.  S.T. Dupont Rose  was launched in 2009. The nose behind this fragrance is Christiane Plos. Top notes are Amalfi Lemon, Pear, Mandarin Orange and Violet; middle notes are Rose, Iris, Peony and Jasmine; base notes are Musk, Virginia Cedar and Vetiver. ","A floral-fruity fragrance is perfect for April, along with pleasant spring breezes and sweetest infatuations which appear in this time of year. In days when everything seems romantic, joyful and pink, the house of S.T. Dupont, presents a very pink fragrance, S.T. Dupont Rose, which is characterized with essences of attractive, irresistible and mysterious woman.
 
 
S.T. Dupont Rose is velvety, smooth and unique like a rose petal; it has classic style and natural aromas. The perfume is fresh and free, composed of a bouquet of roses surrounded with floral and fruity aromas along with woody accords and musk. Creator of the perfume is Christiane Plos. 
 Top notes of S.T.Dupont Rose include lemon and mandarin, which introduce a pleasant overture with its luminous accords together with pear zest and violet extract. A heart adds strong and dominant Bulgarian rose aromas, with floral companionship of peony, iris and Indian jasmine, which are in charge of naturalness and freshness. A base incorporates cedar from Virginia, musk and vetiver, which complete and finish the composition.
 
 
The bottle has the same form as S.T.Dupont Blanc and S.T. Dupont Noir. It is modern and special, coloured in pink and decorated with a white logo. The fragrance has been available since 2009.",Christiane Plos,"Amalfi Lemon,Pear,Mandarin Orange,Violet","Rose,Iris,Peony,Jasmine","Musk,Virginia Cedar,Vetiver",3.77,235,https://fimgs.net/mdimg/perfume/375x500.6031.jpg,https://fimgs.net/mdimg/dizajneri/m.135.jpg
S.T. Dupont Intense Pour Femme S.T. Dupont ,S.T. Dupont,for women,"powdery,citrus,woody,amber,white floral,yellow floral,musky,floral,sweet,rose","S.T. Dupont Intense Pour Femme  by  S.T. Dupont  is a Oriental Floral fragrance for women.  S.T. Dupont Intense Pour Femme  was launched in 2009. The nose behind this fragrance is Antoine Lie. Top notes are Neroli, Bergamot, Citruses and Green Notes; middle notes are Mimosa, African Orange Flower and Rose; base notes are Sandalwood, Amber and Musk. ","S.T.Dupont Intense Pour Femme and S.T.Dupont Intense Pour Homme make a new luxurious duo by the house of S.T.Dupont which continues tradition and shows the art which has been inherent to this house for years. Aromas of the new fragrance nurture the style of previous compositions created in ultimately elegant way.
 
 S.T.Dupont Intense Pour Femme introduces floral-oriental aromas announced as an ode to femininity. Perfumer of the edition is Antoine Lie. Top notes open with luminous union of bergamot, citruses and neroli surrounded with green nuances of fresh leaves. A heart offers gentleness of orange blossom, Turkish rose and mimosa, while base notes leave an exciting trail of creamy-woody accords of sandalwood, amber and musk. The fragrance arrives in a characteristic cylindrical flacon (S.T.Dupont Pour Femme 1998 edition) in dark blue nuances with a silver stopper.",Antoine Lie,"Neroli,Bergamot,Citruses,Green Notes","Mimosa,African Orange Flower,Rose","Sandalwood,Amber,Musk",3.57,377,https://fimgs.net/mdimg/perfume/375x500.6978.jpg,https://fimgs.net/mdimg/dizajneri/m.135.jpg
Passenger for Men S.T. Dupont ,S.T. Dupont,for men,"warm spicy,citrus,woody,fresh,ozonic,soft spicy,amber,aromatic,aquatic,lavender","Passenger for Men  by  S.T. Dupont  is a Woody Spicy fragrance for men.  Passenger for Men  was launched in 2008. Top notes are Citruses and Violet Leaf; middle notes are Ginger, Pink Pepper, Cardamom and Lavender; base notes are Guaiac Wood and Benzoin. ","S.T.Dupont Company goes back to its roots, art of traveling, and invites us for adventures and wandering with perfume pair presented in 2008, Passenger for Women and Passenger for Men.
 
 Explosion of citruses with violet leaves start a strong and energic composition
of Passenger for Men. A heart adds spices, Indian ginger, cardamom from Guatemala, pink pepper and lavender. This fragrant journey finishes with Guaiac wood from Paraguay and benzoin from Laos which brings us a sound of unique natural aromas of dark leather. 
 Passenger for Men is available as 30, 50 and 100ml edt.",,"Citruses,Violet Leaf","Ginger,Pink Pepper,Cardamom,Lavender","Guaiac Wood,Benzoin",3.99,382,https://fimgs.net/mdimg/perfume/375x500.5254.jpg,https://fimgs.net/mdimg/dizajneri/m.135.jpg
Royal Amber S.T. Dupont ,S.T. Dupont,for women and men,"leather,amber,warm spicy,woody,oud,animalic,fruity,powdery,fresh spicy,patchouli",Royal Amber  by  S.T. Dupont  is a Oriental fragrance for women and men.  Royal Amber  was launched in 2017. ,"S.T. Dupont is sending us a new invitation to escape on an incredible olfactory journey, to the Palace of A Thousand and One Nights: Collection S.T. Dupont. 
 Royal Oriental is an evocation of the magnificent Mashrabiyas of Middle Eastern palaces, enhanced by an intense leathery amber fragrance.",,"Amber,Leather,Agarwood (Oud),Saffron,Red Berries,Sandalwood,Patchouli,Cedar,Geranium",,,4.23,277,https://fimgs.net/mdimg/perfume/375x500.43063.jpg,https://fimgs.net/mdimg/dizajneri/m.135.jpg
Passenger for Women S.T. Dupont ,S.T. Dupont,for women,"fruity,citrus,white floral,floral,powdery,woody,fresh,musky,sweet,aquatic","Passenger for Women  by  S.T. Dupont  is a Floral fragrance for women.  Passenger for Women  was launched in 2008. Top notes are Pear, Bergamot, Black Currant and Mandarin Orange; middle notes are Gardenia, Cyclamen and Rose; base notes are Musk, Sandalwood and Iris. ","S.T.Dupont Company goes back to its roots, art of traveling, and invites us for adventures and wandering with perfume pair presented in 2008, Passenger for Women and Passenger for Men.  
 Passenger for Women is a fragrant date in a garden full of juicy citruses, green mandarin and bergamot which blend with juiciness of pear and black currant zest. A heart encompasses cyclamen, gardenia and rose, while base notes bring us warm breath of iris. Sandalwood and musk leave s silky soft trail on the skin.  
 This fragrance is available as 30, 50 and 100ml EDP.",,"Pear,Bergamot,Black Currant,Mandarin Orange","Gardenia,Cyclamen,Rose","Musk,Sandalwood,Iris",3.86,639,https://fimgs.net/mdimg/perfume/375x500.5253.jpg,https://fimgs.net/mdimg/dizajneri/m.135.jpg
Miss Dupont S.T. Dupont ,S.T. Dupont,for women,"woody,rose,powdery,vanilla,aromatic,fruity,citrus,green,sweet,balsamic","Miss Dupont  by  S.T. Dupont  is a Oriental Floral fragrance for women.  Miss Dupont  was launched in 2010. Top notes are Peach, Grapefruit and Galbanum; middle notes are Rose, Sandalwood and Vetiver; base notes are Vanille and Amber. ","S.T. Dupont launches its new perfume this year: the ultra feminine and very glamorous Miss Dupont. Miss Dupont addresses modern and eccentric ladies full of confidence and desire for luxury. It is the scent of a woman who undeniably leaves a mark, ominously irresistible. 
 The floral - oriental compositions opens with sparks of fresh peaches, grapefruit and galbanum. The charming ladyâ€™s heart is built around rose, with additional oriental - wood notes of sandalwood and vetiver oil. The depth and intensity are obtained by the base of amber, musk and vanilla, which releases the female sensuality, making this the ideal evening choice of a perfume. 
 The bottle of Miss Dupont fragrance is inspired by the famous ST Dupont GuillochÃ© design. GuillochÃ© is a decorative engraving technique which creates lines and curves with precise rotating movement. Silver stopper provides some extra glamour to the whole design. The box is a symbol of brilliance and success, with a metallic colored pattern of diamond surface and pink ribbon containing the monogram of the house. 
 Miss Dupont is available as 30, 50 and 75 ml EDP.",,"Peach,Grapefruit,Galbanum","Rose,Sandalwood,Vetiver","Vanille,Amber",3.81,293,https://fimgs.net/mdimg/perfume/375x500.10332.jpg,https://fimgs.net/mdimg/dizajneri/m.135.jpg
Oud & Rose S.T. Dupont ,S.T. Dupont,for women and men,"oud,rose,woody,floral,fresh spicy",Oud & Rose  by  S.T. Dupont  is a Oriental Floral fragrance for women and men.  Oud & Rose  was launched in 2017. ,"S.T. Dupont is sending us a new invitation to escape on an incredible olfactory journey, to the Palace of A Thousand and One Nights: Collection S.T. Dupont. 
 Oud and Rose is a romantic interpretation of the iconic â€œDâ€ of the brand, highlighted by a powerful woody floral fragrance.",,"Agarwood (Oud),Rose,Woodsy Notes",,,3.86,124,https://fimgs.net/mdimg/perfume/375x500.43064.jpg,https://fimgs.net/mdimg/dizajneri/m.135.jpg
58 Avenue Montaigne pour Femme S.T. Dupont ,S.T. Dupont,for women,"sweet,fruity,floral,powdery,musky,fresh,violet,lactonic,citrus,woody","58 Avenue Montaigne pour Femme  by  S.T. Dupont  is a Floral Fruity fragrance for women.  58 Avenue Montaigne pour Femme  was launched in 2012. The nose behind this fragrance is Nathalie Feisthauer. Top notes are Raspberry, Black Currant and Lemon; middle notes are Cyclamen, Violet and Jasmine; base notes are Panacotta, Musk and Patchouli. ","The new line of fragrances by S.T. Dupont, made in urban and contemporary spirit, is named after the location of the S.T. Dupont luxurious goods famous boutique. 58 Avenue Montaigne pour Femme and 58 Avenue Montaigne pour Homme are perfumes designed to combine tradition and modernity, French style and prestige. 
 58 Avenue Montaigne pour Femme is a bright and clean fragrance that exudes the elegance of Paris. It opens with fruity aromas of raspberry, black currant and lemon. The heart includes refined jasmine, cyclamen and violet. Delicious Italian dessert red fruit Panacotta is blended with intense accords of patchouli and musk in the base. 
 The feminine fragrance is available as 30, 50 and 90 ml Eau de Parfum.",Nathalie Feisthauer,"Raspberry,Black Currant,Lemon","Cyclamen,Violet,Jasmine","Panacotta,Musk,Patchouli",3.64,475,https://fimgs.net/mdimg/perfume/375x500.15549.jpg,https://fimgs.net/mdimg/dizajneri/m.135.jpg
Dupont Oud et Rose S.T. Dupont ,S.T. Dupont,for women and men,"oud,rose,warm spicy,woody,powdery,patchouli,musky,amber,floral,balsamic","Dupont Oud et Rose  by  S.T. Dupont  is a Oriental Floral fragrance for women and men.  Dupont Oud et Rose  was launched in 2012. Top notes are Agarwood (Oud), Saffron and Vanilla; middle notes are Rose, Patchouli and Musk; base notes are Sandalwood and Amber. ",,,"Agarwood (Oud),Saffron,Vanilla","Rose,Patchouli,Musk","Sandalwood,Amber",3.99,147,https://fimgs.net/mdimg/perfume/375x500.21460.jpg,https://fimgs.net/mdimg/dizajneri/m.135.jpg
